No FOGO;MEDIDA;FABRICANTE;MODELO;DOT;SULCO;SIST.REF;TIPO;VIDA;ANOMALIA;ANOMALIA;ANOMALIA
44098;295/80R22.5;Pir;Tr85;12;10,0;1;L;2;32;34;
44211;295/80R22.5;Goo;G667;13;9,0;1;L;1;14;;
44755;295/80R22.5;Con;Hdr2;13;10,0;1;L;2;12;;
45341;295/80R22.5;Pir;Tr85;13;9,0;1;L;3;34;;
47170;295/80R22.5;Goo;G658;13;9,0;1;M;3;14;;
47217;295/80R22.5;Bri;R227;13;9,0;1;L;1;12;;
47548;295/80R22.5;Pir;Fr01;13;8,0;1;L;2;12;;
48847;295/80R22.5;Pir;Fr01;13;4,0;1;L;1;14;;
49620;295/80R22.5;Pir;Fg01;12;8,0;1;L;1;12;;
49951;295/80R22.5;Pir;Fr01;13;10,0;1;L;2;40;;
50815;295/80R22.5;Pir;Fg01;13;12,0;1;L;2;34;2;
50875;295/80R22.5;Pir;Fr01;13;5,0;1;L;2;12;;
51401;295/80R22.5;Pir;Fg01;13;9,0;1;L;1;40;;
52465;295/80R22.5;Pir;Fr85;13;10,0;1;L;1;32;34;
56008;295/80R22.5;Mic;Xze;14;1,0;2;M;1;34;2;
61855;295/80R22.5;Pir;Fr85;15;9,0;1;L;1;34;2;
65284;295/80R22.5;Pir;Fr85;12;4,0;1;T;1;25;;
88095;295/80R22.5;Goo;G658;13;6,0;;L;NV;12;;
100119;295/80R22.5;Pir;Tr01;16;9,0;;T;NV;31;;
100120;295/80R22.5;Pir;Tr01;16;10,0;;T;NV;31;;
100140;295/80R22.5;Pir;Fg85;13;10,0;;M;NV;5;40;
100461;295/80R22.5;Pir;Fg01;16;6,0;;M;NV;5;;
100536;295/80R22.5;O;Driver II;16;11,0;;L;NV;14;;
101320;295/80R22.5;Mic;X Multi;16;10,0;;T;NV;8;;
102475;295/80R22.5;Pir;Fg85;16;3,0;;M;NV;6;;
120023;295/80R22.5;Pir;Fg01;15;9,0;;M;NV;25;;
' 0083;295/80R22.5;Goo;G667;09;11,0;1;L;1;34;2;
. 075489;295/80R22.5;O;UM816;11;5,0;1;M;1;14;;
?;275/80R22.5;Mic;Xze;15;6,0;;L;NV;20;35;
?;295/80R22.5;Mic;Xze 2+;13;1,0;;L;1;31;;
?;295/80R22.5;Con;Hsr2;14;1,0;;L;NV;17;;
?;295/80R22.5;Mic;Xde 2+;13;9,0;1;T;2;8;;
?;295/80R22.5;Pir;Fr85;13;18,0;2;L;3;34;;
?;295/80R22.5;Mic;Xze;14;18,0;2;M;3;8;;
?;295/80R22.5;Pir;Fr85;09;1,0;1;L;1;32;34;
?;295/80R22.5;Mic;Xze 2+;13;7,0;1;L;2;32;34;
